conceptId,displayName,description,alternateNames
C001,Diabetes Mellitus,"A group of diseases that result in too much sugar in the blood, or high blood glucose.",Diabetes Mellitus
C002,Hypertension,"A condition in which the force of the blood against the artery walls is too high, leading to health problems.",High Blood Pressure
C003,Asthma,"A respiratory condition marked by spasms in the bronchi of the lungs, causing difficulty in breathing.",Respiratory Condition
C004,Chronic Obstructive Pulmonary Disease (COPD),A chronic inflammatory lung disease that causes obstructed airflow from the lungs.,COPD
C005,Osteoporosis,"A condition in which bones become weak and brittle, increasing the risk of fractures.",Bone Loss
C006,Alzheimer's Disease,A progressive disease that destroys memory and other important mental functions.,Dementia
C007,Rheumatoid Arthritis,"A chronic inflammatory disorder affecting many joints, including those in the hands and feet.",RA
C008,Parkinson's Disease,A progressive nervous system disorder that affects movement and causes tremors.,Parkinsonism
C009,Epilepsy,"A disorder in which nerve cell activity in the brain is disturbed, causing seizures.",Seizure Disorder
C010,Pneumonia,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.",Lung Infection
C011,Chronic Kidney Disease,"The gradual loss of kidney function, leading to waste buildup in the body.",CKD
C012,Hepatitis B,A serious liver infection caused by the hepatitis B virus that can become chronic.,HBV
C013,Psoriasis,"A skin disease marked by red, itchy, scaly patches, most commonly on the knees, elbows, and scalp.",Skin Disorder
C014,Coronary Artery Disease,"A disease of the arteries that supply blood to the heart, leading to chest pain and heart attacks.",Heart Disease
C015,Irritable Bowel Syndrome (IBS),"A gastrointestinal disorder that causes abdominal pain, bloating, and changes in bowel habits.",IBS
C016,Multiple Sclerosis,"A disease in which the immune system eats away at the protective covering of nerves, disrupting communication between the brain and body.",MS
C017,Gout,"A form of arthritis characterized by severe pain, redness, and tenderness in joints.",Uric Acid Arthritis
C018,Crohn's Disease,A chronic inflammatory bowel disease that affects the lining of the digestive tract.,Inflammatory Bowel Disease
C019,Hepatitis C,"A viral infection that causes liver inflammation, sometimes leading to serious liver damage.",HCV
C020,Hyperthyroidism,"A condition in which the thyroid gland produces too much of the hormone thyroxine, accelerating the body's metabolism.",Overactive Thyroid
C021,Diabetes Mellitus Variant 21,"A group of diseases that result in too much sugar in the blood, or high blood glucose. This variant provides additional insights for concept 21.",Diabetes Mellitus Type 21
C022,Hypertension Variant 22,"A condition in which the force of the blood against the artery walls is too high, leading to health problems. This variant provides additional insights for concept 22.",High Blood Pressure Type 22
C023,Asthma Variant 23,"A respiratory condition marked by spasms in the bronchi of the lungs, causing difficulty in breathing. This variant provides additional insights for concept 23.",Respiratory Condition Type 23
C024,Chronic Obstructive Pulmonary Disease (COPD) Variant 24,A chronic inflammatory lung disease that causes obstructed airflow from the lungs. This variant provides additional insights for concept 24.,COPD Type 24
C025,Osteoporosis Variant 25,"A condition in which bones become weak and brittle, increasing the risk of fractures. This variant provides additional insights for concept 25.",Bone Loss Type 25
C026,Alzheimer's Disease Variant 26,A progressive disease that destroys memory and other important mental functions. This variant provides additional insights for concept 26.,Dementia Type 26
C027,Rheumatoid Arthritis Variant 27,"A chronic inflammatory disorder affecting many joints, including those in the hands and feet. This variant provides additional insights for concept 27.",RA Type 27
C028,Parkinson's Disease Variant 28,A progressive nervous system disorder that affects movement and causes tremors. This variant provides additional insights for concept 28.,Parkinsonism Type 28
C029,Epilepsy Variant 29,"A disorder in which nerve cell activity in the brain is disturbed, causing seizures. This variant provides additional insights for concept 29.",Seizure Disorder Type 29
C030,Pneumonia Variant 30,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid. This variant provides additional insights for concept 30.",Lung Infection Type 30
C031,Chronic Kidney Disease Variant 31,"The gradual loss of kidney function, leading to waste buildup in the body. This variant provides additional insights for concept 31.",CKD Type 31
C032,Hepatitis B Variant 32,A serious liver infection caused by the hepatitis B virus that can become chronic. This variant provides additional insights for concept 32.,HBV Type 32
C033,Psoriasis Variant 33,"A skin disease marked by red, itchy, scaly patches, most commonly on the knees, elbows, and scalp. This variant provides additional insights for concept 33.",Skin Disorder Type 33
C034,Coronary Artery Disease Variant 34,"A disease of the arteries that supply blood to the heart, leading to chest pain and heart attacks. This variant provides additional insights for concept 34.",Heart Disease Type 34
C035,Irritable Bowel Syndrome (IBS) Variant 35,"A gastrointestinal disorder that causes abdominal pain, bloating, and changes in bowel habits. This variant provides additional insights for concept 35.",IBS Type 35
C036,Multiple Sclerosis Variant 36,"A disease in which the immune system eats away at the protective covering of nerves, disrupting communication between the brain and body. This variant provides additional insights for concept 36.",MS Type 36
C037,Gout Variant 37,"A form of arthritis characterized by severe pain, redness, and tenderness in joints. This variant provides additional insights for concept 37.",Uric Acid Arthritis Type 37
C038,Crohn's Disease Variant 38,A chronic inflammatory bowel disease that affects the lining of the digestive tract. This variant provides additional insights for concept 38.,Inflammatory Bowel Disease Type 38
C039,Hepatitis C Variant 39,"A viral infection that causes liver inflammation, sometimes leading to serious liver damage. This variant provides additional insights for concept 39.",HCV Type 39
